album_id,category_id,title,sub_category,corr
469,11,精灵,心理,0.5
1543,11,杂七杂八小福利,文学,0.37
5741,11,综合荟萃,健康,3.98
6029,11,美食大搜索20122013学年第二学期,教材,4.63
195267,11,Daisy,卡通,0.71
204683,11,上海最好的男科醫院,科普,3.26
205314,11,卡梅拉我要找到朗朗,健康,2.57
228769,11,小王子,健康,2.74
233190,11,2014peace,卡通,0.52
241836,11,杂记,健康,1.83
248245,11,无用功之狂想曲,儿歌,1.38
248357,11,六十秒语料库苏二哥聊段子,国学历史,1.79
258607,11,个人,健康,1.9
259096,11,这是一群蛇精病蛇精病蛇精病,护理,3.6
262810,11,CV轩辕靖日的剧,故事,0.53
264038,11,击打你的笑穴,健康,0.18
276962,11,工作室里的事儿,故事,6.46
278069,11,草稿纸,故事,0.89
290872,11,电视剧红色OST张鲁一,健康,4.27
292439,11,上海喜玛拉雅国际钢琴艺术节,文学,0.62
295492,11,小段子,文学,0.82
296001,11,风中的声音,健康,5.48
300407,11,带着番外篇,卡通,2.62
302751,11,王老师的声音游戏,健康,0.78
305402,11,主播就要多样化,健康,3.54
307664,11,教师口语,儿童成长,1.58
308947,11,Angon,健康,5.6
310169,11,你可以理解为这是我脑子烧了录出来的东西,健康,0.88
310910,11,10音社出品伪科教剧所谓CV全一期,科普,8.94
313100,11,司法考试之刑事诉讼法,故事,4.08
318211,11,当我们怀念辣条的时候我们在怀念什么,儿童成长,2.71
326055,11,小c的收藏,教材,0.87
327183,11,沈妙瑜祈祷,健康,4.01
328934,11,猫屁乱入,健康,2.62
330873,11,台庆特辑,健康,4.36
331693,11,奔跑吧耳朵体育类语音app,卡通,0.28
332075,11,onekafe,健康,1.47
332386,11,青城计划,儿童成长,3.46
332874,11,小熊可可,健康,6.28
333745,11,试音文件,健康,0.38
334336,11,我的公主,健康,4.88
334515,11,无泪的蝴蝶,故事,0.06
334536,11,弘一大师格言别录有声书,心理,1.25
335297,11,启航影音第三季,故事,1.26
335442,11,医学知识,儿童成长,1.13
337391,11,奇趣合辑转采专用,健康,2.11
337667,11,随录,健康,3.38
339072,11,距离无期,故事,0.21
342606,11,魔天记珈蓝安洛雪,故事,2.43
343168,11,飞科剃须刀广告样音,科普,4.98
343264,11,电影中的小美好,健康,2.53
346443,11,嗨曲1,儿歌,2.07
350328,11,他山之玉,国学历史,6.35
351562,11,收藏的有声选段,儿童成长,1.19
351579,11,酸石榴艺术工作坊出品1鸭子骑车记,文学,3.97
352684,11,随心所录,心理,2.67
353023,11,随性,健康,2.6
356261,11,安静,健康,1.48
356425,11,个人爱好而已,故事,4.78
357932,11,修行摘录,健康,4.68
358759,11,弦外之音,儿童成长,1.31
359235,11,朗诵集,健康,6.39
360607,11,活动音频,儿童成长,3.28
363994,11,同济职协FM,家长升级,2.32
364577,11,2014年10月,教材,1.48
364834,11,世说新语,文学,0.13
367199,11,张小朵的小童真,健康,2.06
367904,11,傻,健康,3.53
372266,11,读给你听,故事,2.95
372798,11,励了个志,健康,6.04
372800,11,瓜嘀嘀咕咕,故事,7.1
373362,11,当下的力量,宝贝show,0.33
375181,11,一期剧,健康,4.48
376378,11,琵琶,健康,2.31
377094,11,Dj,健康,1.74
378322,11,她说,文学,4.02
378440,11,各类音色广告配音,故事,1.13
378778,11,辣椒出嫁到大雷和小雨,儿童成长,0.78
382215,11,灵性的丰盛,心理,4.83
386114,11,海,健康,5.17
386543,11,朗读,健康,4.25
388723,11,不染尘烟,健康,4.99
389303,11,麦当劳里真热闹,健康,0.68
389339,11,piiupiu,健康,2.05
390785,11,爱喝酒的张大爷,儿童成长,8.52
391819,11,安若暖城,健康,3.69
393555,11,转采,健康,3.99
393625,11,青春在哪里,健康,1.59
394370,11,过生日,健康,4.22
396492,11,练习,健康,6.57
402535,11,试试,健康,2.06
403435,11,冰蓝色的记忆,健康,3.45
409367,11,善心做人凡心做事,卡通,2.56
410954,11,听海哭的声音,健康,7.69
412288,11,我,健康,4.93
413030,11,做最好的自己,健康,0.31
415826,11,黄花大闺女,儿童成长,4.25
416662,11,无聊,健康,3.86
417184,11,回家去问妈妈,家长升级,2.53
417943,11,朗诵,健康,6.77
418246,11,Mantras,卡通,1.58
419921,11,转采,健康,3.99
421312,11,奥数,健康,5.74
421474,11,橘子汁,家长升级,5.72
422393,11,汪国真,儿童成长,2.91
423997,11,诗朗诵,诗词,0.52
425855,11,恋声集,健康,6.32
428006,11,最爱,健康,4.67
428583,11,且听风吟,健康,0.65
429114,11,笑声,健康,5.08
431815,11,96部落,健康,2.55
432466,11,我,健康,4.93
432921,11,李商隐诗传,诗词,4.86
454252,11,妈妈,健康,5.92
454984,11,嗨,健康,3.13
456158,11,测试,健康,4.75
457379,11,诗,护理,0.69
458726,11,銀時版,健康,0.17
459470,11,曾经,国学,2.21
461763,11,个人分享,诗词,0.04
463142,11,一个人的时候,故事,0.11
463170,11,且以永日,健康,3.13
1616154,11,默认专辑,健康,1.54
1617833,11,全然接纳默认专辑,故事,0.53
1642263,11,新手自练,健康,4.11
1642856,11,甜言蜜语,健康,0.45
1648897,11,3A课文,健康,0.08
1682190,11,千年蝴蝶,教材,0.6
1686942,11,现代完结1,国学历史,0.02
1694939,11,考研自习室,健康,5.08
1701472,11,L2,健康,5.47
1745380,11,梦若泠歆,健康,1.74
1773152,11,默契,故事,2.23
1805720,11,默认专辑,健康,1.54
1888467,11,陌上花开y123的默认专辑私密,故事,1.15
1985532,11,裘斯同名专辑,健康,1.77
2040153,11,那些事,故事,0.34
2136459,11,阿册进化成萨摩耶兽啦,国学历史,4.37
2144281,11,感受转文字,文学,7.61
2147691,11,转采默认专辑,健康,1.63
2195662,11,爱你是孤单的心事,心理,2.62
2200157,11,Lanna,健康,2.06
2316804,11,5年,健康,5.22
2328839,11,和宇晨采摘,健康,0.4
2336456,11,转采录音机,健康,4.13
2362518,11,en,健康,3.4
2380613,11,剑三,健康,2.99
2397442,11,转,健康,4.38
2431431,11,默认专辑,健康,1.54
2453308,11,三川雪,健康,1.43
2565044,11,默认专辑,健康,1.54
2579697,11,Sophie儿时,儿童成长,0.48
2649083,11,其它,健康,3.8
2650836,11,诵读题,儿童成长,0.23
2651508,11,我的声音,健康,5.66
2652065,11,看见,健康,5.93
2653164,11,倒吊男,健康,2.03
2658817,11,思绪万千,健康,2.72
2659119,11,诗行,诗词,1.26
2660662,11,米隆老爹,国学,1.78
2668203,11,对子,家长升级,3.6
2670072,11,李磊老师早课慈经诵读,国学,14.57
2671522,11,南工院七彩广播台12周年台庆宣传音频,教材,6.0
2675751,11,好书一路听,绘本,6.82
2675843,11,泰戈尔,健康,3.32
2677492,11,军人也有情,心理,0.47
2679271,11,笑话,健康,2.2
