album_id,category_id,title,sub_category
2835819,2,张东朗兄弟辛苦了,流行
2838242,2,黎清钰车载CD,流行
2839223,2,泪,流行
2842231,2,sightwordstales,流行
2843751,2,2666zhlmg蓝色恋人HQWithoutYou失去你,后摇
2845524,2,小屁孩弹钢琴,民谣
2846943,2,时光停在你的眼里,流行
2850832,2,满汉萧忆情,流行
2850912,2,Vocal,民谣
2851195,2,普希金诗选,流行
2851348,2,唱歌,流行
2854076,2,书香音乐系列6夜来藏情,流行
2856222,2,2015年8月11日,流行
2860306,2,我在学校的生活,民谣
2861286,2,音乐,声乐
2862595,2,潮音乐,声乐
2863732,2,中文歌,流行
2867374,2,情爱长安精华版,流行
2871053,2,Equestriagirl,流行
2872778,2,一祀,流行
2873675,2,斌斌专属录音辑,流行
2873776,2,背景音乐各种类型,流行
2874704,2,禅意歌曲,流行
2877199,2,不解释,流行
2881723,2,歌曲,流行
2882829,2,五月天周杰伦歌曲,流行
2885411,2,随遇而安,流行
2885502,2,荒岛,流行
2886164,2,10,流行
2889078,2,MyFavoriteMusic,流行
2891106,2,俄歌专享,流行
2892792,2,代开云南增值税发票13713843339,民谣
2896451,2,以后,后摇
2896878,2,BauirjanOspanov,流行
2899981,2,8月全球EDM同步思路,流行
2905197,2,王佳老师心灵花园,民谣
2905728,2,lovesong,流行
2907589,2,单曲EmployeeOfTheMonth海绵宝宝风格Soundtrack,流行
2908767,2,中国十大美发学院专用曲,中国风
2908974,2,小野丽莎,民谣
2909807,2,剧情歌,流行
2910020,2,有点厉害,流行
2916657,2,菊花爆满山,流行
2917074,2,我,流行
2919994,2,乱录,流行
2920257,2,音色靡川出品,流行
2920562,2,Touchmusic,流行
2921919,2,歌曲,流行
2922134,2,哈哈,流行
2922604,2,夜色,流行
2922842,2,嘿嘿,流行
2928240,2,最熟悉最陌生,流行
2934694,2,游戏ED,流行
2935949,2,马二哥主打喊麦,民乐
2936612,2,xin跳,摇滚
2942226,2,寻找快活林,流行
2942615,2,他,民谣
2943409,2,忧伤飘满雨季,流行
2943662,2,三年级语文,流行
2945254,2,爱,流行
2945839,2,DreamFM2015,嘻哈
2948123,2,测试,流行
2948152,2,爱上不该爱的人,流行
2949543,2,后悔,后摇
2950361,2,孤独的熊猫咪咪,流行
2953925,2,看看,流行
2954977,2,松开牵着我的手,流行
2955542,2,BedOfLies,轻音乐
2956808,2,fx,摇滚
2958086,2,自录,流行
2958997,2,唐波L音乐,轻音乐
2959233,2,顶,流行
2961536,2,录音,流行
2961809,2,太上玄门早晚功课经八仙宫十方韵,流行
2962539,2,王菲,流行
2968524,2,sd,流行
2970882,2,清夜弹琴,中国风
2974979,2,五级,流行
2976128,2,舍不得删掉的歌曲,流行
2982581,2,musictime,流行
2984096,2,说干就干,嘻哈
2985630,2,晓松音乐,民谣
2985631,2,胖纸走在增肥的大道上,流行
2987046,2,爱家乡,流行
2987298,2,安静,流行
2988014,2,91114,民谣
2988658,2,deka,轻音乐
2990593,2,EDM,流行
2994072,2,老时光,流行
2996044,2,yoyo,流行
2998153,2,whndbb,流行
2998631,2,我们的曾经,流行
3002411,2,兔子先生,爵士
3004158,2,大光音乐台,声乐
3005384,2,啦啦啦,流行
3006778,2,ListeningtoMusicCD2,流行
3008270,2,初稿,流行
3009704,2,赵铁夫那些有关青春的歌,流行
3012737,2,毁歌,流行
3017348,2,Star,流行
3017527,2,坑神工作室原创出品广播剧ED,流行
3022016,2,流泪的鱼,流行
3022517,2,小小粉刷匠,民谣
3025557,2,2015鲜声夺人,声乐
3028632,2,米尔,流行
3033479,2,音乐频道,声乐
3034285,2,儿歌,流行
3034443,2,精神嗨曲,流行
3038426,2,delmurathanatule的专辑,古典
3038639,2,1,流行
3038677,2,录音,流行
3047025,2,MC,流行
3048691,2,花香,中国风
3050249,2,迷,流行
3050308,2,歌曲,流行
3051773,2,FTISLAND,流行
3052941,2,了不起的狐狸爸爸3射击,民谣
3053032,2,音乐,声乐
3060449,2,情风,古风
3062007,2,存在,民谣
3062081,2,梦想老师友多多成功之路,流行
3067317,2,录着玩的,民谣
3068426,2,13长城和运河,民谣
3069821,2,923车载生活,流行
3072676,2,9807,流行
3073908,2,动漫,流行
3073980,2,格桑啦,流行
3076221,2,爱你没错,流行
3078592,2,阿耐i曲子,爵士
3079563,2,说过,嘻哈
3081518,2,好人平常,流行
3082496,2,笛子曲,爵士
3082546,2,LEANSOME王子的深夜航班,流行
3082805,2,小小小鹅的音乐课堂039,民谣
3084974,2,跟着音乐摇摆,后摇
3092118,2,YY吴哥团队骨干培养,摇滚
3093231,2,sami,流行
3096308,2,hayrat,嘻哈
3096557,2,民风民俗,民乐
3096597,2,小小小鹅的音乐课堂042,民谣
3097016,2,成语故事拔拔苗助长,流行
3097317,2,神魂颠倒,R&B
3104001,2,一,流行
3104107,2,歌,流行
3109037,2,我的音乐,声乐
3111700,2,尝试一下,流行
3111906,2,韩国比赛音乐,流行
3113138,2,老周的歌,流行
3113489,2,happygirl0,嘻哈
3117345,2,剧情歌,流行
3118456,2,我的录音,流行
3119774,2,摇篮曲,后摇
3119776,2,初,流行
3120643,2,黑,流行
3122104,2,Bonnejourne,流行
3122435,2,横颜,流行
3123591,2,智慧分享,流行
3124123,2,练习曲,流行
3128032,2,诗歌2,流行
3131177,2,巴洛克超级学习音乐,流行
3133440,2,凌海老师,流行
3136575,2,抒情音乐,爵士
3141328,2,楞严咒梁峰,民谣
3142103,2,曲子,爵士
3146945,2,论语学而第一,流行
3148134,2,english1,流行
3149478,2,回忆,流行
3150051,2,满汉全席暗暗yy录音,流行
3151052,2,你永远不会懂,流行
3151328,2,红颜旧,中国风
3151500,2,群管理法群管理法的模式,流行
3152095,2,1,流行
3155409,2,乱炖,流行
3156659,2,Devavani德伐瓦尼静心,摇滚
3160309,2,地藏菩萨本愿经,流行
3162167,2,爱音乐爱自己,民谣
3164476,2,的,流行
3165365,2,梦中的婚礼,流行
3167078,2,琵琶练习,流行
3175172,2,想你所想要你所要精选集,流行
3175288,2,随便唱随便听,流行
3179391,2,喊麦,流行
3180310,2,加依达尔,流行
3180576,2,哎,流行
3181190,2,钱进前进,流行
3181512,2,歌曲,流行
3185902,2,快乐老家,流行
